8,23
8,32
8,16
8,7
8,35
8,28
8,2
8,31
11,38
11,37
11,20
15,25
15,3
15,19
18,25
239,11
210,13
24,13
25,10
25,20
25,26
25,32
26,18
26,13
26,24
26,16
28,34
28,1
28,6
30,1
36,5
36,17
36,29
36,4
37,17
37,29
37,12
37,24
47,6
47,12
47,14
62,29
62,39
66,40
67,29
76,2
78,11
78,31
78,1
81,1
84,35
85,6
85,40
87,26
88,38
89,3
89,23
90,27
92,32
93,38
93,20
93,10
93,25
98,23
98,21
100,21
100,23
101,24
104,18
107,11
107,31
109,21
110,21
113,8
115,23
223,6
265,6
285,6
230,6
212,6
297,6
283,6
275,6
215,95
212,68
257,94
243,72
240,91
