8,2
8,7
8,35
8,27
8,32
8,12
8,28
8,16
279,38
254,38
299,36
251,36
286,37
262,37
214,4
241,4
12,20
12,10
12,30
13,2
13,27
13,30
14,36
14,11
22,1
22,31
22,14
22,11
23,13
23,23
23,20
23,25
23,30
120,5
120,17
120,29
120,4
25,10
25,20
25,26
25,32
26,18
26,16
26,13
26,24
28,1
28,34
29,38
29,4
245,34
290,34
232,1
261,1
255,25
246,25
263,39
284,39
30,25
30,1
258,25
235,25
200,25
218,1
226,25
293,38
266,6
37,24
37,29
37,17
37,12
45,27
45,31
45,11
257,1
62,29
62,39
282,29
73,26
74,5
75,18
77,11
79,24
79,13
81,14
81,1
82,2
83,19
84,21
86,18
88,38
91,24
92,21
92,23
95,21
96,23
96,39
97,23
97,21
98,21
98,23
99,21
99,23
100,21
100,23
102,29
103,17
105,8
106,13
111,35
